trade_date,close,vol,close_x,vol_x,close_y,vol_y,close_ma5,vol_ma5,close_x_ma5,vol_x_ma5,close_y_ma5,vol_y_ma5,close_ema,vol_ema,close_x_ema,vol_x_ema,close_y_ema,vol_y_ema
20120103,127.5,193700000.0,2648.72,411790000.0,12397.38,152560000.0,126.0880000000002,123600000.0,2616.5580000000023,283938000.0,12268.947999999958,102766000.0,127.5,193700000.0,2648.72,411790000.0,12397.38,152560000.0
20120104,127.7,127190000.0,2648.36,411090000.0,12418.42,145130000.0,126.33000000000024,131822000.0,2621.1900000000023,326988000.0,12294.36199999996,112596000.0,127.54,180398000.0,2648.648,411650000.0,12401.588,151074000.0
20120105,128.04,173890000.0,2669.86,442080000.0,12415.7,158440000.0,126.97200000000024,142778000.0,2637.1660000000024,361874000.0,12347.21999999996,127482000.0,127.64000000000001,179096400.0,2652.8904,417736000.0,12404.4104,152547200.0
20120106,127.71,148050000.0,2674.22,412310000.0,12359.92,131120000.0,127.29000000000023,147686000.0,2649.2620000000024,393594000.0,12361.795999999958,136784000.0,127.65400000000002,172887120.0,2657.1563200000005,416650800.0,12395.512320000002,148261760.0
20120109,128.02,99530000.0,2676.56,447700000.0,12392.69,122200000.0,127.7940000000002,148472000.0,2663.5440000000026,424994000.0,12396.821999999958,141890000.0,127.72720000000002,158215696.0,2661.0370560000006,422860640.0,12394.947856000003,143049408.0
20120110,129.13,115280000.0,2702.5,453070000.0,12462.47,141230000.0,128.12000000000023,132788000.0,2674.3000000000025,433250000.0,12409.839999999958,139624000.0,128.00776000000002,149628556.8,2669.3296448000006,428902512.0,12408.452284800003,142685526.4
20120111,129.2,111540000.0,2710.76,419720000.0,12449.45,130260000.0,128.4200000000002,129658000.0,2686.7800000000025,434976000.0,12416.045999999958,136650000.0,128.24620800000002,142010845.44,2677.6157158400006,427066009.6,12416.651827840004,140200421.12
20120112,129.51,118980000.0,2724.7,403170000.0,12471.02,128230000.0,128.71400000000023,118676000.0,2697.7480000000023,427194000.0,12427.10999999996,130608000.0,128.49896640000003,137404676.352,2687.0325726720007,422286807.68000007,12427.525462272004,137806336.89600003
20120113,128.84,179840000.0,2710.67,422130000.0,12422.06,161470000.0,128.94000000000025,125034000.0,2705.038000000003,429158000.0,12439.53799999996,136678000.0,128.56717312000004,145891741.0816,2691.7600581376005,422255446.14400005,12426.432369817605,142539069.51680005
20120117,129.34,132210000.0,2728.08,441250000.0,12482.07,148670000.0,129.20400000000024,131570000.0,2715.342000000003,427868000.0,12457.41399999996,141972000.0,128.72173849600003,143155392.86528003,2699.0240465100806,426054356.91520005,12437.559895854085,143765255.61344004
20120118,130.77,163400000.0,2769.71,490870000.0,12578.95,154170000.0,129.5320000000002,141194000.0,2728.7840000000024,435428000.0,12480.709999999965,144560000.0,129.13139079680002,147204314.29222405,2713.1612372080644,439017485.53216004,12465.83791668327,145846204.49075204
20120119,131.46,126330000.0,2788.33,466590000.0,12623.98,148030000.0,129.98400000000024,144152000.0,2744.2980000000025,444802000.0,12515.615999999962,148114000.0,129.59711263744003,143029451.43377924,2728.1949897664517,444531988.4257281,12497.466333346616,146282963.59260166
20120120,131.95,138230000.0,2786.7,522620000.0,12720.48,255110000.0,130.47200000000026,148002000.0,2756.6980000000026,468692000.0,12565.507999999962,173490000.0,130.06769010995203,142069561.14702338,2739.895991813162,460149590.74058247,12542.069066677293,168048370.8740813
20120123,131.61,129300000.0,2784.17,391760000.0,12708.82,149860000.0,131.02600000000024,137894000.0,2771.3980000000024,462618000.0,12622.85999999996,171168000.0,130.37615208796163,139515648.9176187,2748.7507934505293,446471672.592466,12575.419253341835,164410696.69926506
20120124,131.46,103080000.0,2786.64,412580000.0,12675.75,125420000.0,131.45000000000022,132068000.0,2783.1100000000024,456884000.0,12661.59599999996,166518000.0,130.59292167036932,132228519.13409495,2756.3286347604235,439693338.0739728,12595.485402673468,156612557.35941207
20120125,132.56,198610000.0,2818.31,480460000.0,12756.96,137540000.0,131.80800000000028,139110000.0,2792.8300000000013,454802000.0,12697.197999999958,163192000.0,130.98633733629546,145504815.30727595,2768.7249078083387,447846670.45917827,12627.780322138775,152798045.88752967
20120126,131.88,184880000.0,2805.28,476350000.0,12734.63,130840000.0,131.89200000000022,150820000.0,2796.220000000001,456754000.0,12719.32799999996,159754000.0,131.1650698690364,153379852.24582076,2776.035926246671,453547336.36734265,12649.15025771102,148406436.71002376
20120127,131.82,135260000.0,2816.55,427280000.0,12660.46,164410000.0,131.8660000000003,150226000.0,2802.1900000000023,437686000.0,12707.32399999996,141614000.0,131.2960558952291,149755881.7966566,2784.1387409973368,448293869.09387416,12651.412206168818,151607149.368019
