trade_date,close,vol,close_x,vol_x,close_y,vol_y,close_ma5,vol_ma5,close_x_ma5,vol_x_ma5,close_y_ma5,vol_y_ma5,close_ema,vol_ema,close_x_ema,vol_x_ema,close_y_ema,vol_y_ema
20120103,2321.96,185170000.0,2648.72,411790000.0,12397.38,152560000.0,2289.011999999995,111478000.0,2616.5580000000023,283938000.0,12268.947999999958,102766000.0,2321.96,185170000.0,2648.72,411790000.0,12397.38,152560000.0
20120104,2329.71,201400000.0,2648.36,411090000.0,12418.42,145130000.0,2296.3299999999954,136290000.0,2621.1900000000023,326988000.0,12294.36199999996,112596000.0,2323.51,188416000.0,2648.648,411650000.0,12401.588,151074000.0
20120105,2348.98,204580000.0,2669.86,442080000.0,12415.7,158440000.0,2312.709999999995,155714000.0,2637.1660000000024,361874000.0,12347.21999999996,127482000.0,2328.6040000000003,191648800.0,2652.8904,417736000.0,12404.4104,152547200.0
20120106,2356.17,183430000.0,2674.22,412310000.0,12359.92,131120000.0,2326.9299999999957,174112000.0,2649.2620000000024,393594000.0,12361.795999999958,136784000.0,2334.1172,190005040.0,2657.1563200000005,416650800.0,12395.512320000002,148261760.0
20120109,2350.65,194730000.0,2676.56,447700000.0,12392.69,122200000.0,2341.493999999995,193862000.0,2663.5440000000026,424994000.0,12396.821999999958,141890000.0,2337.42376,190950032.0,2661.0370560000006,422860640.0,12394.947856000003,143049408.0
20120110,2367.38,191670000.0,2702.5,453070000.0,12462.47,141230000.0,2350.5779999999954,195162000.0,2674.3000000000025,433250000.0,12409.839999999958,139624000.0,2343.4150080000004,191094025.6,2669.3296448000006,428902512.0,12408.452284800003,142685526.4
20120111,2372.25,170760000.0,2710.76,419720000.0,12449.45,130260000.0,2359.085999999996,189034000.0,2686.7800000000025,434976000.0,12416.045999999958,136650000.0,2349.1820064000003,187027220.48,2677.6157158400006,427066009.6,12416.651827840004,140200421.12
20120112,2381.99,179200000.0,2724.7,403170000.0,12471.02,128230000.0,2365.687999999996,183958000.0,2697.7480000000023,427194000.0,12427.10999999996,130608000.0,2355.74360512,185461776.384,2687.0325726720007,422286807.68000007,12427.525462272004,137806336.89600003
20120113,2371.98,188410000.0,2710.67,422130000.0,12422.06,161470000.0,2368.849999999996,184954000.0,2705.038000000003,429158000.0,12439.53799999996,136678000.0,2358.990884096,186051421.1072,2691.7600581376005,422255446.14400005,12426.432369817605,142539069.51680005
20120117,2393.24,210890000.0,2728.08,441250000.0,12482.07,148670000.0,2377.367999999996,188186000.0,2715.342000000003,427868000.0,12457.41399999996,141972000.0,2365.8407072768005,191019136.88576,2699.0240465100806,426054356.91520005,12437.559895854085,143765255.61344004
20120118,2425.96,240060000.0,2769.71,490870000.0,12578.95,154170000.0,2389.0839999999957,197864000.0,2728.7840000000024,435428000.0,12480.709999999965,144560000.0,2377.8645658214405,200827309.508608,2713.1612372080644,439017485.53216004,12465.83791668327,145846204.49075204
20120119,2441.7,226170000.0,2788.33,466590000.0,12623.98,148030000.0,2402.973999999996,208946000.0,2744.2980000000025,444802000.0,12515.615999999962,148114000.0,2390.6316526571527,205895847.60688642,2728.1949897664517,444531988.4257281,12497.466333346616,146282963.59260166
20120120,2437.02,279820000.0,2786.7,522620000.0,12720.48,255110000.0,2413.9799999999955,229070000.0,2756.6980000000026,468692000.0,12565.507999999962,173490000.0,2399.909322125722,220680678.08550915,2739.895991813162,460149590.74058247,12542.069066677293,168048370.8740813
20120123,2437.22,191420000.0,2784.17,391760000.0,12708.82,149860000.0,2427.027999999996,229672000.0,2771.3980000000024,462618000.0,12622.85999999996,171168000.0,2407.3714577005776,214828542.46840733,2748.7507934505293,446471672.592466,12575.419253341835,164410696.69926506
20120124,2433.96,183720000.0,2786.64,412580000.0,12675.75,125420000.0,2435.171999999996,224238000.0,2783.1100000000024,456884000.0,12661.59599999996,166518000.0,2412.6891661604623,208606833.97472587,2756.3286347604235,439693338.0739728,12595.485402673468,156612557.35941207
20120125,2465.66,228400000.0,2818.31,480460000.0,12756.96,137540000.0,2443.111999999996,221906000.0,2792.8300000000013,454802000.0,12697.197999999958,163192000.0,2423.28333292837,212565467.17978072,2768.7249078083387,447846670.45917827,12627.780322138775,152798045.88752967
20120126,2454.63,211170000.0,2805.28,476350000.0,12734.63,130840000.0,2445.697999999996,218906000.0,2796.220000000001,456754000.0,12719.32799999996,159754000.0,2429.552666342696,212286373.7438246,2776.035926246671,453547336.36734265,12649.15025771102,148406436.71002376
20120127,2461.77,190380000.0,2816.55,427280000.0,12660.46,164410000.0,2450.647999999996,201018000.0,2802.1900000000023,437686000.0,12707.32399999996,141614000.0,2435.996133074157,207905098.9950597,2784.1387409973368,448293869.09387416,12651.412206168818,151607149.368019
20120130,2465.32,180880000.0,2811.94,399620000.0,12653.72,130430000.0,2456.267999999996,198910000.0,2807.7440000000024,439258000.0,12696.303999999958,137728000.0,2441.8609064593256,202500079.19604778,2789.6989927978693,438559095.27509934,12651.873764935055,147371719.49441522
20120131,2467.95,206850000.0,2813.84,459380000.0,12632.91,168070000.0,2463.065999999996,203536000.0,2813.1840000000025,448618000.0,12687.73599999996,146258000.0,2447.0787251674606,203370063.35683823,2794.5271942382956,442723276.2200795,12648.081011948045,151511375.59553218
20120201,2488.18,249880000.0,2848.27,540080000.0,12716.46,143500000.0,2467.569999999996,207832000.0,2819.176000000003,460542000.0,12679.63599999996,147450000.0,2455.2989801339686,212672050.68547058,2805.2757553906367,462194620.9760636,12661.756809558436,149909100.47642577
20120202,2495.83,182600000.0,2859.68,447130000.0,12705.41,114360000.0,2475.809999999996,202118000.0,2830.056000000003,454698000.0,12673.79199999996,144154000.0,2463.405184107175,206657640.54837647,2816.1566043125094,459181696.7808509,12670.48744764675,142799280.38114062
